type,subject,accuracy
dtw,dan,0.4895640078
dtw,jan,0.5108998182
dtw,lien,0.5030148312
dtw,maki,0.4784323247
dtw,marc,0.4884044675
dtw,mari,0.4545454935
dtw,mirj,0.468923961
dtw,nico,0.4990723377
dtw,suza,0.4960575065
dtw_ps,dan,0.8659075974
dtw_ps,jan,0.8918366104
dtw_ps,lien,0.8500725974
dtw_ps,maki,0.8221170519
dtw_ps,marc,0.8678444286
dtw_ps,mari,0.8498303636
dtw_ps,mirj,0.7783344416
dtw_ps,nico,0.9040436883
dtw_ps,suza,0.898274974
gvf,dan,0.5946196364
gvf,jan,0.7045454935
gvf,lien,0.663961013
gvf,maki,0.739563974
gvf,marc,0.622217039
gvf,mari,0.6602504805
gvf,mirj,0.7068645195
gvf,nico,0.6945733117
gvf,suza,0.7077922208