subject,session,cornerrightdown,cornerrightup,infinity,triangle,curvedown,curveleft,curveup,curveright,accuracy
dan_,1,0.851562,0.743855,0.798962,0.596859,0.796632,0.903351,0.834839,0.900783,0.803355375
dan_,2,0.830091,0.842581,0.687419,0.714286,0.785806,0.828165,0.696774,0.880364,0.78318575
dan_,3,0.691913,0.646983,0.59379,0.796552,0.890323,0.862821,0.620335,0.902975,0.7507115
jan_,1,0.833548,0.770218,0.775325,0.831904,0.757106,0.870968,0.901935,0.873548,0.826819
jan_,2,0.731266,0.794308,0.671835,0.834188,0.785347,0.828165,0.885013,0.861757,0.798984875
jan_,3,0.818299,0.798969,0.731959,0.732419,0.680466,0.874359,0.850708,0.872423,0.79495025
lien,1,0.739691,0.821935,0.930323,0.920553,0.725744,0.821244,0.855297,0.842377,0.8321455
lien,2,0.735484,0.81701,0.860825,0.857143,0.781371,0.885309,0.888601,0.889032,0.839346875
lien,3,0.79359,0.775194,0.860465,0.782534,0.699742,0.865633,0.871134,0.844761,0.811631625
maki,1,0.857328,0.820413,0.818065,0.852234,0.825581,0.874839,0.834197,0.84715,0.841225875
maki,2,0.76326,0.815245,0.762646,0.906736,0.830749,0.87018,0.833118,0.883871,0.833225625
maki,3,0.846952,0.884864,0.83917,0.763793,0.633075,0.802581,0.769728,0.848249,0.7985515
marc,1,0.803896,0.922572,0.837209,0.789474,0.769129,0.828794,0.837333,0.872032,0.832554875
marc,2,0.795367,0.89433,0.810323,0.887931,0.73941,0.866324,0.90874,0.887306,0.848716375
marc,3,0.830116,0.759379,0.915058,0.757732,0.845466,0.886452,0.915276,0.880155,0.84870425
nico,1,0.757069,0.783398,0.842581,0.778929,0.752591,0.81323,0.863049,0.873077,0.8079905
nico,2,0.72365,0.846253,0.869509,0.727273,0.900773,0.820181,0.872751,0.886452,0.83085525
nico,3,0.841902,0.803871,0.825581,0.818182,0.606684,0.891026,0.786546,0.873077,0.805858625
suza,1,0.776486,0.847569,0.803714,0.857388,0.725032,0.922674,0.862565,0.903101,0.837316125
suza,2,0.770914,0.851091,0.86399,0.768966,0.727156,0.88716,0.8819,0.895213,0.83079875
suza,3,0.776923,0.886158,0.776197,0.83821,0.740933,0.912932,0.864166,0.880983,0.83456275
mirj,1,0.713921,0.77013,0.695201,0.668385,0.802853,0.693299,0.65544,0.801546,0.725096875
mirj,2,0.672704,0.824134,0.750973,0.686207,0.774611,0.875486,0.81982,0.776333,0.7725335
mirj,3,0.802057,0.79846,0.75,0.785467,0.708067,0.870634,0.851091,0.817232,0.797876
mari,1,0.822045,0.824837,0.754386,0.710952,0.781003,0.832675,0.816958,0.832215,0.796883875
mari,2,0.790488,0.816733,0.793507,0.766372,0.751316,0.85,0.78996,0.827397,0.798221625
mari,3,0.772903,0.790488,0.801034,0.725694,0.804688,0.781127,0.782497,0.880309,0.7923425