filname,subject,session,g1,g2,g3,g4,g5,g6,g7,g8,accuracy,w,at,alpha
data/dan_45.dat,dan_,2,0.959911,0.94469,0.893333,0.931138,0.949115,0.946903,0.865044,0.946429,0.92957,20,0.2,0.6
data/jan_45.dat,jan_,2,0.933628,0.813747,0.900222,0.797654,0.933921,0.909091,0.938053,0.964602,0.898865,20,0.2,0.6
data/lien_45.dat,lien,2,0.816372,0.918322,0.969095,0.914454,0.922395,0.975717,0.931111,0.962389,0.926232,20,0.2,0.6
data/maki_45.dat,maki,2,0.920177,0.929047,0.922222,0.991124,0.980044,0.962472,0.937916,0.955752,0.949844,20,0.2,0.6
data/marco_45.dat,marc,2,0.96468,0.949227,0.962389,0.946746,0.905286,0.958057,0.955947,0.966667,0.951125,20,0.2,0.6
data/nico_45.dat,nico,2,0.977974,0.964602,0.953437,0.847059,0.96468,0.913333,0.97351,0.960177,0.944346,20,0.2,0.6
data/suzanne_45.dat,suza,2,0.966887,0.964835,0.966741,0.946746,0.92936,0.957778,0.962555,0.980044,0.959368,20,0.2,0.6
data/mirjam_45.dat,mirj,2,0.931264,0.9163,0.902222,0.751479,0.957778,0.937778,0.931718,0.890869,0.902426,20,0.2,0.6
data/marije_45.dat,mari,2,0.927313,0.968182,0.921875,0.969605,0.954751,0.970721,0.904762,0.908665,0.940734,20,0.2,0.6
data/dan_45.dat,dan_,2,0.959911,0.942478,0.9,0.937126,0.949115,0.94469,0.858407,0.950893,0.930327,20,0.2,0.7
data/jan_45.dat,jan_,2,0.935841,0.81153,0.898004,0.803519,0.931718,0.909091,0.94469,0.964602,0.899874,20,0.2,0.7
data/lien_45.dat,lien,2,0.818584,0.918322,0.971302,0.926254,0.926829,0.975717,0.931111,0.964602,0.92909,20,0.2,0.7
data/maki_45.dat,maki,2,0.922395,0.929047,0.92,0.994083,0.982262,0.962472,0.935698,0.957965,0.95049,20,0.2,0.7
data/marco_45.dat,marc,2,0.96468,0.951435,0.964602,0.93787,0.907489,0.958057,0.964758,0.966667,0.951945,20,0.2,0.7
data/nico_45.dat,nico,2,0.969163,0.964602,0.953437,0.847059,0.96468,0.911111,0.977925,0.962389,0.943796,20,0.2,0.7
data/suzanne_45.dat,suza,2,0.966887,0.964835,0.968958,0.949704,0.931567,0.957778,0.962555,0.982262,0.960568,20,0.2,0.7
data/mirjam_45.dat,mirj,2,0.931264,0.914097,0.904444,0.748521,0.955556,0.933333,0.92511,0.888641,0.900121,20,0.2,0.7
data/marije_45.dat,mari,2,0.931718,0.970455,0.917411,0.957447,0.954751,0.972973,0.902494,0.908665,0.939489,20,0.2,0.7
data/dan_45.dat,dan_,2,0.959911,0.94469,0.904444,0.937126,0.949115,0.946903,0.856195,0.948661,0.930881,20,0.2,0.8
data/jan_45.dat,jan_,2,0.935841,0.813747,0.904656,0.800587,0.931718,0.913526,0.949115,0.962389,0.901447,20,0.2,0.8
data/lien_45.dat,lien,2,0.816372,0.922737,0.971302,0.935103,0.929047,0.971302,0.937778,0.964602,0.93103,20,0.2,0.8
data/maki_45.dat,maki,2,0.920177,0.926829,0.92,0.994083,0.982262,0.962472,0.937916,0.957965,0.950213,20,0.2,0.8
data/marco_45.dat,marc,2,0.966887,0.953642,0.964602,0.931953,0.907489,0.958057,0.969163,0.966667,0.952308,20,0.2,0.8
data/nico_45.dat,nico,2,0.96696,0.964602,0.957871,0.85,0.96468,0.913333,0.980132,0.962389,0.944996,20,0.2,0.8
data/suzanne_45.dat,suza,2,0.966887,0.964835,0.971175,0.95858,0.931567,0.96,0.964758,0.980044,0.962231,20,0.2,0.8
data/mirjam_45.dat,mirj,2,0.926829,0.9163,0.902222,0.736686,0.951111,0.933333,0.905286,0.88196,0.894216,20,0.2,0.8
data/marije_45.dat,mari,2,0.931718,0.972727,0.917411,0.948328,0.954751,0.972973,0.904762,0.901639,0.938039,20,0.2,0.8
data/dan_45.dat,dan_,2,0.959911,0.946903,0.902222,0.943114,0.949115,0.949115,0.862832,0.948661,0.932734,20,0.2,0.9
data/jan_45.dat,jan_,2,0.935841,0.818182,0.902439,0.800587,0.933921,0.913526,0.949115,0.960177,0.901723,20,0.2,0.9
data/lien_45.dat,lien,2,0.816372,0.922737,0.969095,0.935103,0.929047,0.962472,0.937778,0.964602,0.929651,20,0.2,0.9
data/maki_45.dat,maki,2,0.920177,0.926829,0.92,0.994083,0.980044,0.962472,0.935698,0.957965,0.949659,20,0.2,0.9
data/marco_45.dat,marc,2,0.966887,0.953642,0.964602,0.934911,0.914097,0.960265,0.971366,0.966667,0.954055,20,0.2,0.9
data/nico_45.dat,nico,2,0.960352,0.964602,0.957871,0.847059,0.96468,0.917778,0.980132,0.962389,0.944358,20,0.2,0.9
data/suzanne_45.dat,suza,2,0.969095,0.967033,0.973392,0.95858,0.92936,0.96,0.964758,0.980044,0.962783,20,0.2,0.9
data/mirjam_45.dat,mirj,2,0.920177,0.9163,0.902222,0.730769,0.946667,0.931111,0.900881,0.884187,0.891539,20,0.2,0.9
data/marije_45.dat,mari,2,0.927313,0.972727,0.915179,0.951368,0.957014,0.972973,0.900227,0.899297,0.937012,20,0.2,0.9
data/dan_45.dat,dan_,2,0.959911,0.949115,0.904444,0.946108,0.949115,0.949115,0.858407,0.948661,0.93311,20,0.2,1
data/jan_45.dat,jan_,2,0.935841,0.818182,0.900222,0.800587,0.936123,0.922395,0.95354,0.957965,0.903107,20,0.2,1
data/lien_45.dat,lien,2,0.818584,0.92053,0.969095,0.932153,0.931264,0.962472,0.937778,0.964602,0.92956,20,0.2,1
data/maki_45.dat,maki,2,0.920177,0.929047,0.92,0.994083,0.982262,0.962472,0.935698,0.960177,0.95049,20,0.2,1
data/marco_45.dat,marc,2,0.966887,0.958057,0.964602,0.93787,0.9163,0.960265,0.975771,0.968889,0.95608,20,0.2,1
data/nico_45.dat,nico,2,0.960352,0.964602,0.957871,0.847059,0.96468,0.917778,0.980132,0.962389,0.944358,20,0.2,1
data/suzanne_45.dat,suza,2,0.969095,0.964835,0.973392,0.961538,0.931567,0.96,0.964758,0.982262,0.963431,20,0.2,1
data/mirjam_45.dat,mirj,2,0.920177,0.918502,0.904444,0.733728,0.944444,0.933333,0.887665,0.88196,0.890532,20,0.2,1
data/marije_45.dat,mari,2,0.929515,0.972727,0.915179,0.951368,0.957014,0.975225,0.900227,0.896955,0.937276,20,0.2,1
data/dan_90.dat,dan_,3,0.936264,0.854945,0.84,0.887906,0.973392,0.923077,0.874172,0.844789,0.891818,20,0.2,0.1
data/jan_90.dat,jan_,3,0.874172,0.865342,0.85872,0.870588,0.864745,0.967033,0.900662,0.883002,0.885533,20,0.2,0.1
data/lien_90.dat,lien,3,0.861538,0.886918,0.929047,0.879765,0.89404,0.89357,0.933775,0.971175,0.906229,20,0.2,0.1
data/maki_90.dat,maki,3,0.915556,0.913526,0.86,0.87574,0.780973,0.838496,0.922395,0.757778,0.858058,20,0.2,0.1
data/marco_90.dat,marc,3,0.92053,0.738359,0.856512,0.908555,0.877193,0.918142,0.933921,0.90287,0.88201,20,0.2,0.1
data/nico_90.dat,nico,3,0.947137,0.884956,0.871397,0.909091,0.768722,0.905495,0.880266,0.971429,0.892311,20,0.2,0.1
data/suzanne_90.dat,suza,3,0.865639,0.875831,0.838137,0.887906,0.86918,0.903297,0.909091,0.924612,0.884212,20,0.2,0.1
data/mirjam_90.dat,mirj,3,0.863436,0.87033,0.859341,0.801187,0.927632,0.911111,0.914097,0.928412,0.884443,20,0.2,0.1
data/marije_90.dat,mari,3,0.902655,0.938326,0.929204,0.91369,0.877506,0.903587,0.933775,0.93819,0.917117,20,0.2,0.1
data/dan_90.dat,dan_,3,0.958242,0.863736,0.846667,0.896755,0.949002,0.949451,0.900662,0.924612,0.911141,20,0.2,0.2
data/jan_90.dat,jan_,3,0.891832,0.933775,0.89404,0.861765,0.895787,0.971429,0.918322,0.935982,0.912866,20,0.2,0.2
data/lien_90.dat,lien,3,0.903297,0.922395,0.968958,0.894428,0.89404,0.933481,0.931567,0.971175,0.927418,20,0.2,0.2
data/maki_90.dat,maki,3,0.942222,0.944568,0.953333,0.85503,0.756637,0.856195,0.91796,0.864444,0.886299,20,0.2,0.2
data/marco_90.dat,marc,3,0.94702,0.736142,0.883002,0.926254,0.91886,0.951327,0.944934,0.958057,0.908199,20,0.2,0.2
data/nico_90.dat,nico,3,0.951542,0.880531,0.909091,0.958944,0.682819,0.945055,0.866962,0.962637,0.894698,20,0.2,0.2
data/suzanne_90.dat,suza,3,0.920705,0.951219,0.898004,0.902655,0.920177,0.945055,0.960089,0.946785,0.930586,20,0.2,0.2
data/mirjam_90.dat,mirj,3,0.88326,0.874725,0.837363,0.857567,0.929825,0.968889,0.947137,0.957494,0.907032,20,0.2,0.2
data/marije_90.dat,mari,3,0.915929,0.933921,0.904867,0.916667,0.922049,0.919282,0.931567,0.949227,0.924189,20,0.2,0.2
data/dan_90.dat,dan_,3,0.964835,0.87033,0.862222,0.896755,0.955654,0.958242,0.90287,0.94235,0.919157,20,0.2,0.3
data/jan_90.dat,jan_,3,0.898455,0.93819,0.922737,0.870588,0.902439,0.967033,0.927152,0.935982,0.920322,20,0.2,0.3
data/lien_90.dat,lien,3,0.927473,0.926829,0.980044,0.903226,0.898455,0.937916,0.93819,0.971175,0.935413,20,0.2,0.3
data/maki_90.dat,maki,3,0.948889,0.946785,0.957778,0.83432,0.780973,0.862832,0.913526,0.873333,0.889804,20,0.2,0.3
data/marco_90.dat,marc,3,0.95585,0.736142,0.900662,0.905605,0.932018,0.957965,0.964758,0.969095,0.915262,20,0.2,0.3
data/nico_90.dat,nico,3,0.953744,0.871681,0.913526,0.961877,0.621145,0.949451,0.866962,0.949451,0.88598,20,0.2,0.3
data/suzanne_90.dat,suza,3,0.929515,0.962306,0.931264,0.923304,0.929047,0.96044,0.955654,0.960089,0.943952,20,0.2,0.3
data/mirjam_90.dat,mirj,3,0.889868,0.885714,0.83956,0.878338,0.925439,0.977778,0.953744,0.957494,0.913492,20,0.2,0.3
data/marije_90.dat,mari,3,0.920354,0.938326,0.913717,0.931548,0.935412,0.921525,0.927152,0.95585,0.930485,20,0.2,0.3
data/dan_90.dat,dan_,3,0.964835,0.881319,0.877778,0.899705,0.973392,0.962637,0.900662,0.955654,0.926998,20,0.2,0.4
data/jan_90.dat,jan_,3,0.907285,0.944812,0.931567,0.873529,0.904656,0.967033,0.931567,0.922737,0.922898,20,0.2,0.4
data/lien_90.dat,lien,3,0.945055,0.933481,0.982262,0.912023,0.889625,0.940133,0.949227,0.957871,0.93871,20,0.2,0.4
data/maki_90.dat,maki,3,0.955556,0.946785,0.96,0.831361,0.767699,0.871681,0.902439,0.877778,0.889162,20,0.2,0.4
data/marco_90.dat,marc,3,0.958057,0.731707,0.92936,0.911504,0.940789,0.960177,0.964758,0.969095,0.920681,20,0.2,0.4
data/nico_90.dat,nico,3,0.953744,0.865044,0.915743,0.961877,0.570485,0.945055,0.866962,0.951648,0.87882,20,0.2,0.4
data/suzanne_90.dat,suza,3,0.931718,0.964523,0.935698,0.926254,0.937916,0.964835,0.951219,0.964523,0.947086,20,0.2,0.4
data/mirjam_90.dat,mirj,3,0.889868,0.898901,0.848352,0.878338,0.929825,0.977778,0.95815,0.959732,0.917618,20,0.2,0.4
data/marije_90.dat,mari,3,0.920354,0.940529,0.931416,0.9375,0.933185,0.923767,0.922737,0.958057,0.933443,20,0.2,0.4
data/dan_90.dat,dan_,3,0.967033,0.887912,0.884444,0.899705,0.97561,0.967033,0.900662,0.960089,0.930311,20,0.2,0.5
data/jan_90.dat,jan_,3,0.907285,0.944812,0.935982,0.879412,0.909091,0.964835,0.933775,0.922737,0.924741,20,0.2,0.5
data/lien_90.dat,lien,3,0.947253,0.935698,0.980044,0.923754,0.88521,0.94235,0.960265,0.957871,0.941556,20,0.2,0.5
data/maki_90.dat,maki,3,0.955556,0.944568,0.962222,0.83432,0.761062,0.871681,0.880266,0.875556,0.885654,20,0.2,0.5
data/marco_90.dat,marc,3,0.958057,0.733925,0.933775,0.917404,0.947368,0.962389,0.96696,0.97351,0.924174,20,0.2,0.5
data/nico_90.dat,nico,3,0.955947,0.849558,0.915743,0.964809,0.544053,0.940659,0.862528,0.953846,0.873393,20,0.2,0.5
data/suzanne_90.dat,suza,3,0.933921,0.966741,0.937916,0.929204,0.937916,0.967033,0.953437,0.966741,0.949113,20,0.2,0.5
data/mirjam_90.dat,mirj,3,0.878855,0.898901,0.852747,0.872404,0.921053,0.977778,0.962555,0.957494,0.915223,20,0.2,0.5
data/marije_90.dat,mari,3,0.920354,0.944934,0.931416,0.943452,0.930958,0.923767,0.924945,0.953642,0.934183,20,0.2,0.5
data/dan_90.dat,dan_,3,0.967033,0.89011,0.886667,0.902655,0.980044,0.967033,0.900662,0.962306,0.932064,20,0.2,0.6
data/jan_90.dat,jan_,3,0.9117,0.944812,0.940397,0.879412,0.909091,0.956044,0.933775,0.922737,0.924746,20,0.2,0.6
data/lien_90.dat,lien,3,0.947253,0.94235,0.980044,0.929619,0.880795,0.94235,0.949227,0.949002,0.94008,20,0.2,0.6
data/maki_90.dat,maki,3,0.955556,0.946785,0.964444,0.831361,0.75885,0.873894,0.871397,0.877778,0.885008,20,0.2,0.6
data/marco_90.dat,marc,3,0.960265,0.733925,0.93819,0.920354,0.951754,0.964602,0.969163,0.97351,0.92647,20,0.2,0.6
data/nico_90.dat,nico,3,0.953744,0.84292,0.91796,0.964809,0.502203,0.934066,0.858093,0.956044,0.86623,20,0.2,0.6
data/suzanne_90.dat,suza,3,0.936123,0.966741,0.94235,0.932153,0.937916,0.967033,0.953437,0.968958,0.950589,20,0.2,0.6
data/mirjam_90.dat,mirj,3,0.876652,0.896703,0.837363,0.881306,0.888158,0.98,0.96696,0.93736,0.908063,20,0.2,0.6
data/marije_90.dat,mari,3,0.922566,0.953744,0.920354,0.946429,0.924276,0.923767,0.92053,0.949227,0.932612,20,0.2,0.6
data/dan_90.dat,dan_,3,0.967033,0.892308,0.888889,0.902655,0.984479,0.971429,0.900662,0.966741,0.934274,20,0.2,0.7
data/jan_90.dat,jan_,3,0.913907,0.95585,0.940397,0.879412,0.909091,0.956044,0.935982,0.92936,0.927505,20,0.2,0.7
data/lien_90.dat,lien,3,0.947253,0.944568,0.980044,0.938416,0.878587,0.944568,0.94702,0.946785,0.940905,20,0.2,0.7
data/maki_90.dat,maki,3,0.957778,0.946785,0.964444,0.831361,0.756637,0.876106,0.862528,0.871111,0.883344,20,0.2,0.7
data/marco_90.dat,marc,3,0.962472,0.727273,0.942605,0.920354,0.951754,0.964602,0.971366,0.975717,0.927018,20,0.2,0.7
data/nico_90.dat,nico,3,0.953744,0.84292,0.920177,0.964809,0.493392,0.931868,0.853659,0.956044,0.864577,20,0.2,0.7
data/suzanne_90.dat,suza,3,0.936123,0.968958,0.94235,0.932153,0.935698,0.969231,0.955654,0.971175,0.951418,20,0.2,0.7
data/mirjam_90.dat,mirj,3,0.881057,0.901099,0.828571,0.881306,0.881579,0.98,0.964758,0.935123,0.906687,20,0.2,0.7
data/marije_90.dat,mari,3,0.922566,0.955947,0.915929,0.943452,0.922049,0.923767,0.916115,0.94702,0.930856,20,0.2,0.7
data/dan_90.dat,dan_,3,0.967033,0.89011,0.888889,0.899705,0.984479,0.971429,0.90287,0.971175,0.934461,20,0.2,0.8
data/jan_90.dat,jan_,3,0.916115,0.958057,0.940397,0.873529,0.911308,0.956044,0.935982,0.933775,0.928151,20,0.2,0.8
data/lien_90.dat,lien,3,0.947253,0.94235,0.982262,0.938416,0.874172,0.944568,0.949227,0.935698,0.939243,20,0.2,0.8
data/maki_90.dat,maki,3,0.957778,0.944568,0.966667,0.828402,0.754425,0.873894,0.858093,0.873333,0.882145,20,0.2,0.8
data/marco_90.dat,marc,3,0.962472,0.720621,0.944812,0.923304,0.953947,0.966814,0.971366,0.97351,0.927106,20,0.2,0.8
data/nico_90.dat,nico,3,0.955947,0.84292,0.920177,0.961877,0.486784,0.934066,0.855876,0.958242,0.864486,20,0.2,0.8
data/suzanne_90.dat,suza,3,0.938326,0.968958,0.94235,0.932153,0.935698,0.969231,0.953437,0.973392,0.951693,20,0.2,0.8
data/mirjam_90.dat,mirj,3,0.878855,0.901099,0.824176,0.881306,0.864035,0.977778,0.964758,0.932886,0.903112,20,0.2,0.8
data/marije_90.dat,mari,3,0.922566,0.955947,0.911504,0.946429,0.917595,0.923767,0.887417,0.944812,0.926255,20,0.2,0.8
data/dan_90.dat,dan_,3,0.967033,0.894506,0.897778,0.902655,0.984479,0.971429,0.90287,0.971175,0.93649,20,0.2,0.9
data/jan_90.dat,jan_,3,0.916115,0.95585,0.940397,0.870588,0.911308,0.956044,0.93819,0.935982,0.928059,20,0.2,0.9
data/lien_90.dat,lien,3,0.947253,0.946785,0.982262,0.935484,0.874172,0.94235,0.949227,0.931264,0.9386,20,0.2,0.9
data/maki_90.dat,maki,3,0.957778,0.944568,0.966667,0.825444,0.75,0.873894,0.855876,0.875556,0.881223,20,0.2,0.9
data/marco_90.dat,marc,3,0.962472,0.718404,0.944812,0.923304,0.953947,0.966814,0.971366,0.97351,0.926829,20,0.2,0.9
data/nico_90.dat,nico,3,0.955947,0.845133,0.920177,0.964809,0.484582,0.931868,0.844789,0.958242,0.863193,20,0.2,0.9
data/suzanne_90.dat,suza,3,0.938326,0.968958,0.94235,0.943953,0.935698,0.969231,0.953437,0.973392,0.953168,20,0.2,0.9
data/mirjam_90.dat,mirj,3,0.878855,0.903297,0.821978,0.878338,0.861842,0.98,0.964758,0.928412,0.902185,20,0.2,0.9
data/marije_90.dat,mari,3,0.922566,0.955947,0.913717,0.946429,0.915367,0.921525,0.880795,0.942605,0.924869,20,0.2,0.9
data/dan_90.dat,dan_,3,0.967033,0.894506,0.895556,0.902655,0.984479,0.971429,0.90287,0.968958,0.935935,20,0.2,1
data/jan_90.dat,jan_,3,0.918322,0.95585,0.940397,0.870588,0.911308,0.956044,0.942605,0.935982,0.928887,20,0.2,1
data/lien_90.dat,lien,3,0.947253,0.946785,0.982262,0.938416,0.87638,0.94235,0.949227,0.929047,0.938965,20,0.2,1
data/maki_90.dat,maki,3,0.955556,0.946785,0.966667,0.822485,0.754425,0.871681,0.851441,0.88,0.88113,20,0.2,1
data/marco_90.dat,marc,3,0.962472,0.718404,0.94702,0.923304,0.95614,0.966814,0.971366,0.971302,0.927103,20,0.2,1
data/nico_90.dat,nico,3,0.955947,0.845133,0.924612,0.964809,0.477974,0.931868,0.842572,0.96044,0.862919,20,0.2,1
data/suzanne_90.dat,suza,3,0.938326,0.966741,0.946785,0.955752,0.940133,0.971429,0.955654,0.973392,0.956026,20,0.2,1
data/mirjam_90.dat,mirj,3,0.88326,0.903297,0.824176,0.866469,0.850877,0.98,0.962555,0.923937,0.899321,20,0.2,1
data/marije_90.dat,mari,3,0.922566,0.953744,0.911504,0.949405,0.910913,0.923767,0.878587,0.942605,0.924137,20,0.2,1